player_temp 16267 1 4
player_temp 53778 3 26
player_temp 4364 2 10
player_temp 9455 3 26
player_temp 4889 2 11
player_temp 4804 2 10
player_temp 4626 2 12
player_temp 6413 2 13
player_temp 5536 2 12
player_temp 8631 3 24
player_temp 7828 3 17
player_temp 38417 2 10
player_temp 36009 2 12
player_temp 95386 3 30
player_temp 11074 1 3
player_temp 15245 2 6
player_temp 12372 2 5
player_temp 74396 3 30
player_temp 62568 3 30
player_temp 77267 3 25
player_temp 1151 1 0
player_temp 2530 1 4
player_temp 6356 3 20
